CUPS,AÑO,MES,DIA,HORA,CONSUMO
0,2021,8,27,24,0.225
0,2021,8,28,1,0.204
0,2021,8,28,2,0.142
0,2021,8,28,3,0.077
0,2021,8,28,4,0.09
0,2021,8,28,5,0.085
0,2021,8,28,6,0.081
0,2021,8,28,7,0.079
0,2021,8,28,8,0.074
0,2021,8,28,9,0.074
0,2021,8,28,10,0.091
0,2021,8,28,11,0.08
0,2021,8,28,12,0.189
0,2021,8,28,13,0.213
0,2021,8,28,14,0.26
0,2021,8,28,15,0.235
0,2021,8,28,16,0.227
0,2021,8,28,17,0.105
0,2021,8,28,18,0.118
0,2021,8,28,19,0.159
0,2021,8,28,20,0.088
0,2021,8,28,21,0.085
0,2021,8,28,22,0.08
0,2021,8,28,23,0.077
0,2021,8,28,24,0.084
0,2021,8,29,1,0.099
0,2021,8,29,2,0.495
0,2021,8,29,3,0.139
0,2021,8,29,4,0.551
0,2021,8,29,5,0.092
0,2021,8,29,6,0.079
0,2021,8,29,7,0.078
0,2021,8,29,8,0.088
0,2021,8,29,9,0.074
0,2021,8,29,10,0.083
0,2021,8,29,11,0.313
0,2021,8,29,12,0.226
0,2021,8,29,13,0.101
0,2021,8,29,14,0.074
0,2021,8,29,15,0.084
0,2021,8,29,16,0.082
0,2021,8,29,17,0.081
0,2021,8,29,18,0.076
0,2021,8,29,19,0.074
0,2021,8,29,20,0.078
0,2021,8,29,21,0.081
0,2021,8,29,22,0.074
0,2021,8,29,23,0.105
0,2021,8,29,24,0.219
0,2021,8,30,1,0.123
0,2021,8,30,2,0.083
0,2021,8,30,3,0.073
0,2021,8,30,4,0.077
0,2021,8,30,5,0.082
0,2021,8,30,6,0.08
0,2021,8,30,7,0.08
0,2021,8,30,8,0.074
0,2021,8,30,9,0.239
0,2021,8,30,10,0.33
0,2021,8,30,11,0.248
0,2021,8,30,12,0.185
0,2021,8,30,13,0.204
0,2021,8,30,14,0.208
0,2021,8,30,15,0.182
0,2021,8,30,16,0.194
0,2021,8,30,17,0.234
0,2021,8,30,18,0.352
0,2021,8,30,19,0.196
0,2021,8,30,20,0.083
0,2021,8,30,21,0.13
0,2021,8,30,22,0.275
0,2021,8,30,23,0.216
0,2021,8,30,24,0.225
0,2021,8,31,1,0.117
0,2021,8,31,2,0.083
0,2021,8,31,3,0.077
0,2021,8,31,4,0.072
0,2021,8,31,5,0.083
0,2021,8,31,6,0.082
0,2021,8,31,7,0.076
0,2021,8,31,8,0.071
0,2021,8,31,9,0.156
0,2021,8,31,10,0.17
0,2021,8,31,11,0.251
0,2021,8,31,12,0.168
0,2021,8,31,13,0.201
0,2021,8,31,14,0.173
0,2021,8,31,15,0.162
0,2021,8,31,16,0.198
0,2021,8,31,17,0.175
0,2021,8,31,18,0.104
0,2021,8,31,19,0.324
0,2021,8,31,20,0.416
0,2021,8,31,21,0.342
0,2021,8,31,22,0.206
0,2021,8,31,23,0.223
0,2021,8,31,24,0.382
0,2021,9,1,1,0.311
0,2021,9,1,2,0.066
0,2021,9,1,3,0.073
0,2021,9,1,4,0.072
0,2021,9,1,5,0.069
0,2021,9,1,6,0.075
0,2021,9,1,7,0.126
0,2021,9,1,8,0.175
0,2021,9,1,9,0.137
0,2021,9,1,10,0.182
0,2021,9,1,11,0.226
0,2021,9,1,12,0.208
0,2021,9,1,13,0.234
0,2021,9,1,14,0.183
0,2021,9,1,15,0.215
0,2021,9,1,16,0.223
0,2021,9,1,17,0.234
0,2021,9,1,18,0.372
0,2021,9,1,19,0.353
0,2021,9,1,20,0.214
0,2021,9,1,21,0.206
0,2021,9,1,22,0.212
0,2021,9,1,23,0.219
0,2021,9,1,24,0.213
0,2021,9,2,1,0.178
0,2021,9,2,2,0.127
0,2021,9,2,3,0.083
0,2021,9,2,4,0.072
0,2021,9,2,5,0.085
0,2021,9,2,6,0.084
0,2021,9,2,7,0.072
0,2021,9,2,8,0.079
0,2021,9,2,9,0.159
0,2021,9,2,10,0.21
0,2021,9,2,11,0.255
0,2021,9,2,12,0.2
0,2021,9,2,13,0.201
0,2021,9,2,14,0.211
0,2021,9,2,15,0.2
0,2021,9,2,16,0.207
0,2021,9,2,17,0.25
0,2021,9,2,18,0.171
0,2021,9,2,19,0.165
0,2021,9,2,20,0.204
0,2021,9,2,21,0.297
